Issue Type,Summary,Description,Status,Priority,Labels,Epic Name,Epic Link,Leadership Note
Epic,Kunde- og produktmaster,"Kundedata, produkter, prislogikk og masterdata som styrer ordreflyten.",Prioritert,Hoy,"kunde,backend,lederrapport",Kunde- og produktmaster,,"Styrer grunnlaget for korrekt drift og pris."
Epic,Abonnementsmaler og ordregenerering,"Maler, generering frem i tid og kundespesifikke bestillingsmonster.",Prioritert,Hoy,"ordre,backend,lederrapport",Abonnementsmaler og ordregenerering,,"Kjernefunksjonen for automatisert ordreopprettelse."
Epic,Ordreflyt og cutoff,"Ordrestatus, endringer, lasing og leveringsovergang.",Prioritert,Hoy,"ordre,backend,lederrapport",Ordreflyt og cutoff,,"Sikrer stabil og styrbar leveranseprosess."
Epic,Susoft-synkronisering,"Integrasjon mot Susoft, sync-feil, retry og status.",Prioritert,Hoy,"integrasjon,backend,lederrapport",Susoft-synkronisering,,"Direkte koblet til fakturering og driftsrisiko."
Epic,Ruteplanlegging og levering,"Ruter, kundeplassering, kjoreliste og leveringsstotte.",Prioritert,Hoy,"kunde,rapport,lederrapport",Ruteplanlegging og levering,,"Direkte operativ verdi for distribusjon."
Epic,Produksjonsrapporter,"Daglige rapporter, ukeoversikt, batch-plan og PDF-er.",Prioritert,Hoy,"rapport,backend,lederrapport",Produksjonsrapporter,,"Gir grunnlag for produksjonsplanlegging."
Epic,Sikkerhet og tilgangsstyring,"MFA, roller, admin-sikkerhet og tilgangskontroll.",Prioritert,Medium,"sikkerhet,backend,lederrapport",Sikkerhet og tilgangsstyring,,"Reduserer risiko og styrker kontroll."
Epic,Drift logging og varsling,"Celery-jobber, helseovervaking, backup, varsling og status.",Prioritert,Medium,"drift,integrasjon,lederrapport",Drift logging og varsling,,"Viktig for stabil drift og tidlig feiloppdagelse."
Epic,Adminpanel og brukeropplevelse,"Adminskjermer, statusvisning og lederoversikt.",Prioritert,Medium,"frontend,lederrapport",Adminpanel og brukeropplevelse,,"Synlighet og brukbarhet for drift og ledelse."
Story,Etablere route-modell og kundekobling,"Route-modell og customer.route_id ser implementert ut i backend.",Ferdig,Hoy,"backend,kunde",,Ruteplanlegging og levering,"Ser kodemessig levert ut."
Story,Lage API for ruter og kundetildeling,"Eget route-API med CRUD, kundetildeling og postnummerregler finnes.",Ferdig,Hoy,"backend,kunde",,Ruteplanlegging og levering,"Backend-delen ser levert ut."
Story,Bygge visning for ruter i adminpanelet,"RoutesPage finnes i frontend og bruker route-endepunktene, men bor verifiseres ende-til-ende.",Klar for test,Medium,"frontend,kunde",,Ruteplanlegging og levering,"Kan demonstreres og testes raskt."
Story,Generere daglig produksjonsrapport per dato,"Daglig produksjonsrapport finnes som API og frontend-visning.",Ferdig,Hoy,"rapport,backend",,Produksjonsrapporter,"Ser levert ut i kodebasen."
Task,Lage ukeoversikt for produksjon,"Ukeoversikt finnes som API og i produksjonssiden, men bor testes funksjonelt.",Klar for test,Medium,"rapport,frontend",,Produksjonsrapporter,"Nesten klar for a rapporteres som levert."
Story,Forbedre oversikt over Susoft-sync-feil,"Status, connection test og sync-endepunkter finnes, men ledervisning og oppfolging kan forbedres.",Satt i gang,Hoy,"integrasjon,backend",,Susoft-synkronisering,"Viktig operativ forbedring."
Task,Lage tydelig statusside for sync og retry,"Statusside finnes i frontend, men bor strammes til rundt sync og retry-signaler.",Klar for test,Medium,"frontend,integrasjon",,Adminpanel og brukeropplevelse,"Synlig verdi for ledelse og admin."
Story,Fullfore order cutoff og lasing kl. 15,"Cutoff-logikk, computed locks og Celery-jobb finnes i backend og portalflyt.",Klar for test,Hoy,"ordre,backend",,Ordreflyt og cutoff,"Bor demonstreres og verifiseres med testdata."
Task,Dokumentere panic-cancel-prosessen,"Operativ prosedyre for avvik og nodstopp bor dokumenteres for ledelsen og drift.",Ide,Medium,"drift,lederrapport",,Ordreflyt og cutoff,"Manglende driftsdokumentasjon er fortsatt en risiko."
Story,Ferdigstille prislogikk med gyldig fra dato,"Prislogikken ser delvis utbygget ut, men bor styres videre til verifisert leveranse.",Satt i gang,Hoy,"kunde,backend",,Kunde- og produktmaster,"Hoy forretningsverdi."
Story,Innfore dashboard for lederstatus,"Tavleoppsett og styringsdokument finnes na, men ikke eget lederdashboard i produktet.",Prioritert,Medium,"frontend,lederrapport",,Adminpanel og brukeropplevelse,"Nyttig neste steg for synlighet."
Task,Verifisere MFA og sikkerhetsflyt for adminbrukere,"MFA-felter og frontend-loginflyt finnes, men bor testes ende-til-ende for adminroller.",Klar for test,Medium,"sikkerhet,frontend",,Sikkerhet og tilgangsstyring,"Bor fa en kort sikkerhetsdemo eller test."
Task,Etablere overvaking av bakgrunnsjobber,"Celery beat, health checks og jobbdefinisjoner finnes, men operativ overvaking bor skjerpes.",Satt i gang,Medium,"drift,backend",,Drift logging og varsling,"Driftskvalitet kan heves raskt her."
Task,Rydde og standardisere audit trail for endringer,"Auditspor finnes, men ledelses- og kontrollperspektivet bor standardiseres.",Prioritert,Medium,"forbedring,backend",,Drift logging og varsling,"Viktig for sporbarhet og kontroll."
Story,Lage pakkseddel- og kjorelistevisning,"Leverings- og rapportendepunkter finnes, og frontend har kjoreliste-rute, men funksjonen bor verifiseres med reelle data.",Klar for test,Medium,"rapport,frontend",,Ruteplanlegging og levering,"Nar testet kan den raskt rapporteres som levert."
